Date,Date and Time,Count,Day of Week,Time
10/31/2023,10/31/2023 18:00,48,Tuesday,6:00pm
10/31/2023,10/31/2023 18:30,116,Tuesday,6:30pm
10/31/2023,10/31/2023 19:00,178,Tuesday,7:00pm
10/31/2023,10/31/2023 19:30,120,Tuesday,7:30pm
10/31/2023,10/31/2023 20:00,84,Tuesday,8:00pm
10/31/2023,10/31/2023 20:15,24,Tuesday,8:15pm
10/31/2024,10/31/2024 18:00,34,Thursday,6:00pm
10/31/2024,10/31/2024 18:30,109,Thursday,6:30pm
10/31/2024,10/31/2024 19:00,203,Thursday,7:00pm
10/31/2024,10/31/2024 19:30,141,Thursday,7:30pm
10/31/2024,10/31/2024 20:00,111,Thursday,8:00pm
10/31/2024,10/31/2024 20:15,33,Thursday,8:15pm
